VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
1, 2, -0.70352,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
2, 4, -0.70352,  0.28905,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
3, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
4, 4, -0.70352,  0.28905,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
5, 6, -0.70421,  0.28446,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
6, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
7, 6, -0.70421,  0.28446,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
8, 8, -0.70606,  0.28116,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
9, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
10, 8, -0.70606,  0.28116,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
11, 10, -0.70865,  0.27993,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
12, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
13, 10, -0.70865,  0.27993,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
14, 12, -0.9476,  0.27993,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
15, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
16, 12, -0.9476,  0.27993,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
17, 14, -0.95019,  0.28116,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
18, 0, -0.95273,  0.88688,  0.50,  1.00,  0.05882,  0.05882,  0.05882,  0.94118,  0.00098,  0.00781
