VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 182, -0.94687,  0.87646,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1, 183, -0.93051,  0.87646,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
2, 184, -0.93051,  0.84736,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
3, 182, -0.94687,  0.87646,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
4, 184, -0.93051,  0.84736,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
5, 185, -0.94687,  0.84736,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
6, 186, -0.92723,  0.86903,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.02539,  0.4375
7, 187, -0.92273,  0.86903,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03516,  0.4375
8, 188, -0.92273,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03516,  0.5625
9, 186, -0.92723,  0.86903,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.02539,  0.4375
10, 188, -0.92273,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.03516,  0.5625
11, 189, -0.92723,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.02539,  0.5625
12, 190, -0.92094,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.4375
13, 191, -0.91645,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.4375
14, 192, -0.91645,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.53125
15, 190, -0.92094,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.4375
16, 192, -0.91645,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.24414,  0.53125
17, 193, -0.92094,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.23438,  0.53125
18, 194, -0.91375,  0.87063,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.1875
19, 195, -0.91195,  0.87063,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.1875
20, 196, -0.91195,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.32813
21, 194, -0.91375,  0.87063,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.1875
22, 196, -0.91195,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.32813
23, 197, -0.91375,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.32813
24, 198, -0.90836,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.21094,  0.4375
25, 199, -0.90387,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2207,  0.4375
26, 200, -0.90387,  0.85625,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2207,  0.53125
27, 198, -0.90836,  0.86583,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.21094,  0.4375
